Basement,Full Baths,Other Improvements,Basement Finish,Sale Price,Type of Residence,Attic Type,Estimate (Building),Building Square Feet,property_city,Fireplaces
,1.0,,,144900,,,51450.0,,SCHAUMBURG,
,1.0,,,144900,,,70070.0,,SCHAUMBURG,
,1.0,,,144900,,,66570.0,,SCHAUMBURG,
,1.0,,,158500,,,75450.0,,SCHAUMBURG,
1.0,3.0,0.0,1.0,455000,1.0,3.0,188990.0,1986.0,SCHAUMBURG,1.0
,,,,198700,,,77350.0,,SCHAUMBURG,
,,,,175000,,,56540.0,,SCHAUMBURG,
3.0,2.0,142.0,3.0,375000,1.0,3.0,243530.0,2369.0,SCHAUMBURG,2.0
3.0,2.0,142.0,3.0,375000,1.0,3.0,243530.0,2369.0,SCHAUMBURG,2.0
,1.0,,,162000,,,66570.0,,SCHAUMBURG,
3.0,2.0,0.0,1.0,321000,4.0,3.0,176970.0,1600.0,SCHAUMBURG,1.0
2.0,2.0,0.0,3.0,386000,3.0,3.0,404000.0,2148.0,SCHAUMBURG,0.0
2.0,2.0,0.0,3.0,386000,3.0,3.0,0.0,2148.0,SCHAUMBURG,0.0
,1.0,,,106500,,,61690.0,,SCHAUMBURG,
,1.0,,,205500,,,148430.0,,SCHAUMBURG,
4.0,1.0,0.0,3.0,165000,1.0,3.0,115800.0,1202.0,SCHAUMBURG,2.0
,,,,127000,,,17490.0,,SCHAUMBURG,
,,,,127000,,,90200.0,,SCHAUMBURG,
,,,,141750,,,68330.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,335000,2.0,3.0,239410.0,2124.0,SCHAUMBURG,1.0
,,,,100000,,,40300.0,,SCHAUMBURG,
2.0,3.0,0.0,3.0,175000,2.0,3.0,161500.0,1889.0,SCHAUMBURG,0.0
2.0,3.0,0.0,3.0,175000,2.0,3.0,176580.0,1889.0,SCHAUMBURG,0.0
2.0,3.0,0.0,3.0,242000,2.0,3.0,161500.0,1889.0,SCHAUMBURG,1.0
2.0,3.0,0.0,3.0,242000,2.0,3.0,176580.0,1889.0,SCHAUMBURG,1.0
2.0,1.0,0.0,3.0,234000,1.0,3.0,170670.0,1160.0,SCHAUMBURG,0.0
2.0,1.0,0.0,3.0,234000,1.0,3.0,149360.0,1160.0,SCHAUMBURG,0.0
,1.0,,,190000,,,67060.0,,SCHAUMBURG,
,,,,160000,,,66570.0,,SCHAUMBURG,
3.0,3.0,0.0,1.0,885000,2.0,3.0,569830.0,4611.0,SCHAUMBURG,1.0
,,,,119500,,,65650.0,,SCHAUMBURG,
,,,,119500,,,67520.0,,SCHAUMBURG,
1.0,3.0,0.0,1.0,700000,2.0,3.0,416860.0,3187.0,SCHAUMBURG,2.0
,1.0,,,148000,,,108780.0,,SCHAUMBURG,
,1.0,,,148000,,,80550.0,,SCHAUMBURG,
3.0,1.0,0.0,1.0,140000,2.0,3.0,135430.0,1300.0,SCHAUMBURG,1.0
,1.0,,,186000,,,128820.0,,SCHAUMBURG,
,1.0,,,186000,,,128820.0,,SCHAUMBURG,
,,,,165000,,,97760.0,,SCHAUMBURG,
,,,,165000,,,97760.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,210000,2.0,3.0,131340.0,1767.0,SCHAUMBURG,0.0
2.0,1.0,0.0,3.0,153900,2.0,3.0,125250.0,1250.0,SCHAUMBURG,1.0
,1.0,,,170000,,,105080.0,,SCHAUMBURG,
,,,,165000,,,96420.0,,SCHAUMBURG,
4.0,1.0,0.0,3.0,286000,1.0,3.0,149930.0,2155.0,SCHAUMBURG,1.0
,1.0,,,198000,,,104710.0,,SCHAUMBURG,
1.0,2.0,0.0,3.0,310000,1.0,3.0,154660.0,2021.0,SCHAUMBURG,0.0
,1.0,,,121000,,,104400.0,,SCHAUMBURG,
1.0,2.0,0.0,3.0,337500,2.0,3.0,177520.0,1646.0,SCHAUMBURG,1.0
1.0,2.0,0.0,3.0,335000,2.0,3.0,297350.0,1873.0,SCHAUMBURG,1.0
,1.0,,,130000,,,98400.0,,SCHAUMBURG,
,1.0,,,175000,,,68010.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,253900,2.0,3.0,235660.0,1452.0,SCHAUMBURG,1.0
2.0,2.0,0.0,3.0,292000,2.0,3.0,242750.0,1657.0,SCHAUMBURG,1.0
2.0,2.0,0.0,3.0,292000,2.0,3.0,242750.0,1657.0,SCHAUMBURG,1.0
,,,,155000,,,65960.0,,SCHAUMBURG,
,,,,155000,,,65960.0,,SCHAUMBURG,
3.0,2.0,0.0,1.0,340000,2.0,3.0,270740.0,2273.0,SCHAUMBURG,0.0
3.0,2.0,0.0,1.0,340000,2.0,3.0,253670.0,2273.0,SCHAUMBURG,0.0
1.0,2.0,0.0,3.0,310000,2.0,3.0,274430.0,1997.0,SCHAUMBURG,1.0
1.0,2.0,0.0,3.0,310000,2.0,3.0,274430.0,1997.0,SCHAUMBURG,1.0
1.0,2.0,0.0,3.0,313000,2.0,3.0,274430.0,1997.0,SCHAUMBURG,2.0
1.0,2.0,0.0,3.0,313000,2.0,3.0,274430.0,1997.0,SCHAUMBURG,2.0
,1.0,,,139500,,,80530.0,,SCHAUMBURG,
3.0,1.0,0.0,1.0,280000,4.0,3.0,258400.0,1139.0,SCHAUMBURG,2.0
2.0,2.0,0.0,3.0,280000,1.0,3.0,282550.0,2312.0,SCHAUMBURG,2.0
3.0,2.0,0.0,3.0,355000,2.0,3.0,276330.0,2293.0,SCHAUMBURG,2.0
,,,,141000,,,106510.0,,SCHAUMBURG,
3.0,1.0,0.0,1.0,300000,4.0,3.0,204080.0,1316.0,SCHAUMBURG,0.0
,1.0,,,152000,,,104690.0,,SCHAUMBURG,
2.0,2.0,0.0,3.0,330000,1.0,2.0,245530.0,2443.0,SCHAUMBURG,1.0
,1.0,,,113000,,,51720.0,,SCHAUMBURG,
,1.0,,,113000,,,50290.0,,SCHAUMBURG,
,,,,105000,,,85780.0,,SCHAUMBURG,
2.0,1.0,0.0,3.0,245000,1.0,3.0,167990.0,1138.0,SCHAUMBURG,0.0
,,,,174500,,,112560.0,,SCHAUMBURG,
,,,,174500,,,97760.0,,SCHAUMBURG,
,1.0,,,188000,,,133670.0,,SCHAUMBURG,
2.0,1.0,0.0,3.0,122500,2.0,3.0,117890.0,1034.0,SCHAUMBURG,0.0
,1.0,,,141005,,,90510.0,,SCHAUMBURG,
,1.0,,,120000,,,85730.0,,SCHAUMBURG,
2.0,1.0,0.0,3.0,274900,1.0,3.0,160280.0,1317.0,SCHAUMBURG,0.0
