Basement,Sale_Price,Estimate_Building,Building Square Feet,Fireplaces,Building_Square_Feet,Attic_Type,Basement_Finish,Type_of_Residence,Bathrooms
full,370000,158010.0,976.0,0,Small,Partial,Unfinished,one_story,1
full,370000,94750.0,976.0,0,Small,Partial,Unfinished,one_story,1
full,430000,288690.0,2493.0,1+,Large,None,Unfinished,one_story,2
not_full,335000,269020.0,1994.0,1+,Medium-Large,None,Formal rec room,over_one_story,2
not_full,304900,251800.0,2008.0,1+,Medium-Large,None,Formal rec room,one_story,2
not_full,304900,267180.0,2008.0,1+,Medium-Large,None,Formal rec room,one_story,2
not_full,346500,251800.0,2008.0,1+,Medium-Large,None,Formal rec room,one_story,2
not_full,346500,267180.0,2008.0,1+,Medium-Large,None,Formal rec room,one_story,2
full,136500,125250.0,1250.0,0,Small-Medium,None,Unfinished,one_story,1
full,175000,124200.0,1380.0,0,Small-Medium,Full,Unfinished,one_story,1
full,230100,196520.0,1896.0,1+,Medium-Large,Full,Unfinished,one_story,1
not_full,366400,277730.0,2350.0,1+,Large,None,Unfinished,one_story,2
not_full,287000,167360.0,1084.0,0,Small,Partial,Formal rec room,over_one_story,1
not_full,287000,182110.0,1084.0,0,Small,Partial,Formal rec room,over_one_story,1
not_full,210500,203790.0,1175.0,1+,Small,None,Formal rec room,over_one_story,1
full,470000,310250.0,2482.0,1+,Large,None,Formal rec room,one_story,2
not_full,183000,158710.0,1422.0,1+,Medium,None,Unfinished,one_story,1
full,307500,205220.0,1259.0,0,Small-Medium,None,Formal rec room,over_one_story,1
full,307500,178740.0,1259.0,0,Small-Medium,None,Formal rec room,over_one_story,1
full,127000,205180.0,1344.0,0,Small-Medium,Full,Unfinished,one_story,1
full,127000,205180.0,1344.0,0,Small-Medium,Full,Unfinished,one_story,1
full,264500,199620.0,1386.0,1+,Small-Medium,Full,Unfinished,one_story,1
full,264500,199620.0,1386.0,1+,Small-Medium,Full,Unfinished,one_story,1
full,264500,199620.0,1386.0,1+,Small-Medium,Full,Unfinished,one_story,1
full,277500,199620.0,1386.0,1+,Small-Medium,Full,Unfinished,one_story,1
full,277500,199620.0,1386.0,1+,Small-Medium,Full,Unfinished,one_story,1
full,277500,199620.0,1386.0,1+,Small-Medium,Full,Unfinished,one_story,1
not_full,412000,329560.0,2222.0,1+,Medium-Large,None,Formal rec room,one_story,3+
not_full,352000,233060.0,2490.0,0,Large,None,Unfinished,one_story,2
full,257251,260900.0,2265.0,0,Medium-Large,None,Unfinished,one_story,2
full,257251,260900.0,2265.0,0,Medium-Large,None,Unfinished,one_story,2
full,330000,260900.0,2265.0,1+,Medium-Large,None,Unfinished,one_story,2
full,330000,260900.0,2265.0,1+,Medium-Large,None,Unfinished,one_story,2
full,243000,153200.0,1140.0,1+,Small,None,Unfinished,one_story,1
full,243000,153200.0,1140.0,1+,Small,None,Unfinished,one_story,1
not_full,288500,208360.0,1655.0,1+,Medium,None,Formal rec room,one_story,2
full,315000,92460.0,1496.0,1+,Medium,None,Formal rec room,one_story,2
full,318500,204270.0,1972.0,1+,Medium-Large,Full,Unfinished,one_story,2
full,318500,227170.0,1972.0,1+,Medium-Large,Full,Unfinished,one_story,2
not_full,370000,313660.0,2530.0,1+,Large,None,Unfinished,one_story,2
not_full,386000,278080.0,2302.0,1+,Large,None,Unfinished,one_story,2
full,275000,170380.0,1615.0,1+,Medium,None,Unfinished,one_story,1
full,455000,336880.0,2690.0,0,Large,None,Unfinished,one_story,2
not_full,280000,209470.0,1396.0,0,Small-Medium,Full,Formal rec room,over_one_story,1
not_full,280000,164030.0,1396.0,0,Small-Medium,Full,Formal rec room,over_one_story,1
full,200000,169680.0,1140.0,0,Small,None,Unfinished,one_story,1
full,327500,269290.0,2064.0,1+,Medium-Large,Partial,Unfinished,one_story,3+
not_full,345000,284740.0,1981.0,1+,Medium-Large,None,Unfinished,one_story,2
full,370000,301180.0,1873.0,1+,Medium-Large,None,Unfinished,one_story,2
full,370000,301180.0,1873.0,1+,Medium-Large,None,Unfinished,one_story,2
not_full,250000,171590.0,976.0,0,Small,None,Unfinished,one_story,1
not_full,575100,310100.0,2204.0,1+,Medium-Large,None,Formal rec room,one_story,2
not_full,293000,208810.0,1114.0,0,Small,None,Formal rec room,over_one_story,1
full,285000,191010.0,1246.0,0,Small-Medium,Partial,Formal rec room,one_story,1
not_full,292000,245700.0,1266.0,0,Small-Medium,Partial,Formal rec room,over_one_story,1
full,338000,278590.0,1828.0,1+,Medium-Large,None,Unfinished,one_story,2
full,125000,130130.0,1428.0,0,Medium,None,Unfinished,one_story,1
full,125000,149180.0,1428.0,0,Medium,None,Unfinished,one_story,1
full,142800,179850.0,1282.0,0,Small-Medium,None,Formal rec room,one_story,1
full,276500,172410.0,1346.0,0,Small-Medium,None,Unfinished,one_story,1
full,276500,172410.0,1346.0,0,Small-Medium,None,Unfinished,one_story,1
full,290100,205210.0,1575.0,1+,Medium,Partial,Unfinished,one_story,1
not_full,280000,295380.0,1601.0,1+,Medium,None,Formal rec room,over_one_story,2
full,392000,286720.0,2406.0,0,Large,None,Unfinished,one_story,1
full,392000,256700.0,2406.0,0,Large,None,Unfinished,one_story,1
full,180000,117760.0,1312.0,1+,Small-Medium,None,Unfinished,one_story,1
not_full,277000,223240.0,1268.0,0,Small-Medium,Partial,Formal rec room,over_one_story,2
full,285900,227500.0,1816.0,0,Medium-Large,None,Unfinished,one_story,2
