property_city,Estimate (Land),Estimate (Building),Type of Residence,Rooms,Bedrooms,Central Heating,Central Air,Fireplaces,Building Square Feet,Sale Price,Full Baths,Garage 1 Size,Age,Garage indicator,Tax Year,Basement,Basement Finish,Near Major Road,Construction Quality,Renovation,Repair Condition,Neighborhood Code,Roof Material,Other Heating,Attic Type,Attic Finish,Cathedral Ceiling,Site Desireability,Porch,Other Improvements,Large Lot
GLENVIEW,103780,440410,4,7,4,1,0,1,1820,542500,2,3,52,1,2018,3,1,0,2,NA,2,131,1,5,3,NA,0,2,3,0,0
ARLINGTON HEIGHTS,47910,221680,4,5,3,1,1,1,1087,201000,1,3,59,1,2018,3,1,1,2,NA,2,56,1,5,3,NA,0,2,1,0,0
ARLINGTON HEIGHTS,47910,221680,4,5,3,1,1,1,1087,201000,1,3,59,1,2018,3,1,1,2,NA,2,56,1,5,3,NA,0,2,1,0,0
ARLINGTON HEIGHTS,47910,221680,4,5,3,1,1,2,1087,340000,1,3,62,1,2019,3,1,0,2,NA,2,56,1,5,3,0,0,2,1,0,NA
ARLINGTON HEIGHTS,47910,221680,4,5,3,1,1,2,1087,340000,1,3,62,1,2019,3,1,0,2,NA,2,56,1,5,3,0,0,2,1,0,NA
HOFFMAN ESTATES,41060,280700,2,8,4,1,1,1,2251,410000,2,3,39,1,2018,3,3,0,2,NA,2,40,1,5,3,NA,0,2,3,0,0
EVANSTON,80620,600800,2,9,4,1,1,2,3004,720000,3,3,116,1,2019,3,3,0,1,NA,1,43,1,5,1,1,2,2,1,0,NA
SCHAUMBURG,32220,66570,NA,NA,NA,NA,NA,NA,NA,155000,1,NA,36,NA,2018,NA,NA,0,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,3,NA,1
HOFFMAN ESTATES,41570,205370,1,7,4,1,1,0,1480,265000,2,3,48,1,2018,3,1,1,2,NA,2,11,1,5,3,NA,2,2,3,46,0
EVANSTON,6710,86560,NA,NA,NA,NA,NA,NA,NA,135500,1,NA,49,NA,2018,NA,NA,1,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,3,NA,1
SKOKIE,59670,213880,1,6,3,1,1,1,1241,271000,1,3,65,1,2018,3,3,0,2,NA,2,101,1,5,2,3,0,2,3,0,0
SKOKIE,59670,183670,1,6,3,1,1,1,1241,271000,1,3,65,1,2018,3,3,0,2,NA,2,101,1,5,2,3,0,2,3,0,0
SKOKIE,59670,213880,1,6,3,1,1,2,1241,430000,1,3,68,1,2019,3,3,0,2,NA,2,101,1,5,2,3,0,2,3,0,NA
SKOKIE,59670,183670,1,6,3,1,1,2,1241,430000,1,3,68,1,2019,3,3,0,2,NA,2,101,1,5,2,3,0,2,3,0,NA
HOFFMAN ESTATES,18920,144170,2,6,3,1,1,0,1502,125900,1,0,43,0,2018,1,3,0,2,NA,2,109,1,5,3,NA,2,2,3,0,0
SCHAUMBURG,NA,NA,2,8,3,1,1,1,2712,412454,3,3,1,1,2018,1,3,0,2,NA,2,30,1,5,2,3,1,2,3,0,0
SCHAUMBURG,880,88700,NA,NA,NA,NA,NA,NA,NA,152000,NA,NA,32,NA,2019,NA,NA,1,NA,NA,NA,82,NA,NA,NA,0,NA,NA,3,NA,NA
EVANSTON,26250,192820,1,7,4,1,0,2,1536,250000,2,3,121,1,2018,1,3,1,2,NA,2,140,1,5,2,3,0,2,3,0,0
EVANSTON,22500,196160,1,7,4,1,0,2,1536,250000,2,3,121,1,2018,1,3,1,2,NA,2,140,1,5,2,3,0,2,3,0,0
HOFFMAN ESTATES,46310,199090,1,6,3,1,1,1,1286,315000,1,3,54,1,2019,1,1,0,2,NA,2,170,1,5,3,0,0,2,3,0,NA
NORTHBROOK,89650,444270,2,7,5,1,1,1,2124,640000,2,1,62,1,2018,1,1,1,2,NA,2,132,1,5,3,NA,2,2,3,0,0
EVANSTON,6850,120280,NA,NA,NA,NA,NA,NA,NA,148000,1,NA,90,NA,2018,NA,NA,0,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,3,NA,0
